Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute
Vistara,Banglore,Delhi,170,0.0,No info,4668.0,18,5,2019,23,50,21,0
SpiceJet,Banglore,Delhi,160,0.0,No info,3311.0,27,5,2019,8,35,5,55
Vistara,Banglore,New Delhi,160,0.0,No info,4563.0,24,3,2019,22,20,19,40
IndiGo,Delhi,Cochin,275,1.0,No info,5703.0,21,4,2019,12,10,7,35
Jet Airways,Banglore,Delhi,165,0.0,No info,7229.0,21,4,2019,8,45,6,0
IndiGo,Delhi,Cochin,490,1.0,No info,6938.0,1,6,2019,22,30,14,20
Air India,Banglore,New Delhi,1795,2.0,No info,8114.0,24,3,2019,22,55,17,0
IndiGo,Delhi,Cochin,895,1.0,No info,6442.0,15,5,2019,22,30,7,35
Jet Airways,Kolkata,Banglore,450,1.0,No info,13731.0,9,6,2019,4,40,21,10
Air India,Kolkata,Banglore,970,2.0,No info,14960.0,6,6,2019,8,55,16,45
Air India,Kolkata,Banglore,1045,2.0,No info,11411.0,12,5,2019,23,15,5,50
Multiple carriers,Delhi,Cochin,730,1.0,In-flight meal not included,10711.0,21,5,2019,19,15,7,5
Jet Airways,Banglore,New Delhi,1525,1.0,In-flight meal not included,11087.0,12,3,2019,20,20,18,55
SpiceJet,Mumbai,Hyderabad,90,0.0,No info,2017.0,27,6,2019,14,45,13,15
Jet Airways,Banglore,New Delhi,1200,1.0,No info,12284.0,18,3,2019,7,40,11,40
Jet Airways,Delhi,Cochin,660,1.0,No info,16289.0,27,5,2019,19,0,8,0
Air India,Kolkata,Banglore,1700,2.0,No info,12592.0,24,5,2019,13,45,9,25
Jet Airways,Delhi,Cochin,885,1.0,In-flight meal not included,12898.0,27,5,2019,12,35,21,50
IndiGo,Mumbai,Hyderabad,90,0.0,No info,4575.0,3,3,2019,4,0,2,30
Jet Airways,Kolkata,Banglore,330,1.0,No info,14388.0,1,5,2019,12,0,6,30
SpiceJet,Kolkata,Banglore,330,1.0,No info,9158.0,9,6,2019,21,25,15,55
Air Asia,Kolkata,Banglore,155,0.0,No info,4409.0,24,5,2019,12,55,10,20
Multiple carriers,Delhi,Cochin,705,1.0,No info,7564.0,18,5,2019,19,15,7,30
Jet Airways,Delhi,Cochin,910,2.0,In-flight meal not included,11507.0,12,6,2019,12,35,21,25
Air India,Delhi,Cochin,320,1.0,No info,8067.0,21,5,2019,23,0,17,40
Multiple carriers,Delhi,Cochin,450,1.0,No info,7933.0,1,6,2019,1,30,18,0
IndiGo,Banglore,New Delhi,295,1.0,No info,8707.0,1,3,2019,18,35,13,40
Jet Airways,Delhi,Cochin,940,1.0,In-flight meal not included,10262.0,15,6,2019,12,35,20,55
SpiceJet,Banglore,Delhi,170,0.0,No info,4423.0,6,4,2019,12,20,9,30
IndiGo,Kolkata,Banglore,150,0.0,No info,5224.0,18,5,2019,16,55,14,25
Air Asia,Banglore,Delhi,170,0.0,No info,7120.0,3,6,2019,2,45,23,55
Jet Airways,Kolkata,Banglore,1630,1.0,No info,11467.0,1,5,2019,23,35,20,25
Air India,Delhi,Cochin,1820,2.0,No info,12646.0,6,6,2019,19,15,12,55
Air India,Delhi,Cochin,1730,2.0,No info,13381.0,9,6,2019,19,15,14,25
Multiple carriers,Delhi,Cochin,615,1.0,No info,12524.0,6,6,2019,19,0,8,45
IndiGo,Kolkata,Banglore,155,0.0,No info,6565.0,3,3,2019,16,55,14,20
GoAir,Banglore,Delhi,165,0.0,No info,3898.0,21,6,2019,23,40,20,55
Jet Airways,Delhi,Cochin,1485,1.0,In-flight meal not included,10262.0,24,6,2019,19,0,18,15
IndiGo,Banglore,Delhi,170,0.0,No info,4423.0,9,4,2019,13,0,10,10
Air India,Mumbai,Hyderabad,710,2.0,No info,16697.0,6,3,2019,16,55,5,5
Air Asia,Kolkata,Banglore,150,0.0,No info,4409.0,18,4,2019,1,20,22,50
Air India,Banglore,Delhi,170,0.0,No info,5228.0,24,4,2019,23,55,21,5
IndiGo,Kolkata,Banglore,165,0.0,No info,4804.0,15,5,2019,12,20,9,35
IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,3,6,2019,17,45,15,15
Jet Airways,Delhi,Cochin,655,1.0,In-flight meal not included,12898.0,21,5,2019,4,25,17,30
Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,6224.0,12,6,2019,4,40,16,30
SpiceJet,Kolkata,Banglore,145,0.0,No info,4174.0,24,4,2019,11,25,9,0
Air India,Kolkata,Banglore,1165,2.0,No info,12744.0,9,6,2019,5,25,10,0
Multiple carriers,Delhi,Cochin,440,1.0,No info,11789.0,15,6,2019,19,0,11,40
Jet Airways,Banglore,New Delhi,325,1.0,No info,26890.0,1,3,2019,12,25,7,0
Vistara,Kolkata,Banglore,790,1.0,No info,9555.0,9,6,2019,20,20,7,10
Jet Airways,Delhi,Cochin,1040,1.0,In-flight meal not included,10262.0,1,6,2019,12,35,19,15
Vistara,Banglore,Delhi,160,0.0,No info,4878.0,1,6,2019,9,40,7,0
SpiceJet,Chennai,Kolkata,135,0.0,No info,7298.0,1,3,2019,10,35,8,20
IndiGo,Mumbai,Hyderabad,90,0.0,No info,3342.0,24,5,2019,4,5,2,35
Jet Airways,Kolkata,Banglore,1450,1.0,No info,13067.0,24,5,2019,9,45,9,35
Jet Airways,Delhi,Cochin,1475,2.0,No info,10976.0,27,3,2019,19,45,19,10
Vistara,Kolkata,Banglore,385,1.0,No info,9870.0,24,5,2019,23,25,17,0
SpiceJet,Banglore,New Delhi,170,0.0,No info,6205.0,9,3,2019,23,20,20,30
Air India,Kolkata,Banglore,1625,2.0,No info,12723.0,18,5,2019,8,55,5,50
IndiGo,Delhi,Cochin,490,1.0,No info,7054.0,6,5,2019,22,30,14,20
Multiple carriers,Delhi,Cochin,545,1.0,No info,9646.0,1,6,2019,16,10,7,5
Air India,Kolkata,Banglore,1165,2.0,No info,14634.0,12,5,2019,5,25,10,0
Jet Airways,Kolkata,Banglore,1235,1.0,In-flight meal not included,10031.0,24,3,2019,16,20,19,45
IndiGo,Banglore,Delhi,170,0.0,No info,3625.0,21,5,2019,1,0,22,10
Air India,Mumbai,Hyderabad,80,0.0,No info,3100.0,9,5,2019,22,25,21,5
Air India,Kolkata,Banglore,1195,2.0,No info,9416.0,12,6,2019,7,55,12,0
Multiple carriers,Delhi,Cochin,750,1.0,No info,9385.0,18,5,2019,1,30,13,0
SpiceJet,Delhi,Cochin,380,1.0,No info,5583.0,24,6,2019,22,5,15,45
SpiceJet,Chennai,Kolkata,135,0.0,No info,3597.0,21,5,2019,10,35,8,20
Multiple carriers,Delhi,Cochin,520,1.0,No info,11789.0,12,6,2019,19,0,10,20
Jet Airways,Banglore,New Delhi,995,1.0,No info,17261.0,6,3,2019,9,30,16,55
IndiGo,Kolkata,Banglore,160,0.0,No info,4778.0,1,3,2019,23,5,20,25
Jet Airways,Delhi,Cochin,1025,2.0,In-flight meal not included,10368.0,9,6,2019,12,35,19,30
Air India,Delhi,Cochin,1470,2.0,No info,11732.0,12,6,2019,19,15,18,45
SpiceJet,Mumbai,Hyderabad,495,1.0,No info,13552.0,6,3,2019,22,25,14,10
Vistara,Kolkata,Banglore,790,1.0,No info,8452.0,1,4,2019,20,20,7,10
IndiGo,Delhi,Cochin,300,1.0,No info,7725.0,9,3,2019,21,0,16,0
SpiceJet,Mumbai,Hyderabad,90,0.0,No info,2017.0,3,6,2019,14,45,13,15
Multiple carriers,Delhi,Cochin,930,1.0,No info,13377.0,24,6,2019,1,30,10,0
IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,1,5,2019,6,50,4,0
Multiple carriers,Delhi,Cochin,545,1.0,No info,9646.0,6,6,2019,16,10,7,5
Air Asia,Banglore,Delhi,170,0.0,No info,4282.0,27,4,2019,7,45,4,55
IndiGo,Banglore,Delhi,165,0.0,No info,3419.0,9,4,2019,4,15,1,30
Jet Airways,Banglore,New Delhi,885,1.0,No info,11507.0,12,3,2019,0,30,9,45
IndiGo,Banglore,New Delhi,300,1.0,No info,9165.0,15,3,2019,19,25,14,25
Jet Airways,Kolkata,Banglore,590,1.0,No info,14781.0,12,5,2019,18,15,8,25
Jet Airways,Delhi,Cochin,830,2.0,In-flight meal not included,10919.0,15,6,2019,4,25,14,35
Jet Airways,Delhi,Cochin,1375,2.0,No info,13292.0,9,6,2019,4,25,5,30
SpiceJet,Banglore,Delhi,175,0.0,No info,3971.0,24,5,2019,0,5,21,10
Jet Airways,Delhi,Cochin,1015,1.0,No info,12242.0,27,3,2019,4,25,11,30
Jet Airways,Delhi,Cochin,1620,2.0,In-flight meal not included,12719.0,21,5,2019,12,35,9,35
Jet Airways,Delhi,Cochin,505,2.0,In-flight meal not included,15318.0,9,5,2019,4,25,20,0
Vistara,Banglore,New Delhi,160,0.0,No info,7398.0,9,3,2019,9,40,7,0
Jet Airways,Delhi,Cochin,1050,1.0,In-flight meal not included,13843.0,9,3,2019,19,45,2,15
IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,15,6,2019,17,45,15,15
Air India,Banglore,New Delhi,330,1.0,No info,23677.0,1,3,2019,12,15,6,45
Air India,Banglore,New Delhi,425,1.0,No info,12389.0,3,3,2019,12,55,5,50
Jet Airways,Banglore,New Delhi,435,1.0,No info,19225.0,6,3,2019,21,20,14,5
Air India,Banglore,Delhi,165,0.0,No info,5228.0,9,5,2019,19,45,17,0
IndiGo,Delhi,Cochin,575,1.0,No info,6442.0,21,5,2019,18,10,8,35
Jet Airways,Kolkata,Banglore,1215,1.0,No info,13731.0,9,6,2019,4,40,8,25
Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,5769.0,24,6,2019,10,10,7,10
Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,7064.0,1,4,2019,4,40,16,30
Jet Airways,Kolkata,Banglore,365,1.0,In-flight meal not included,9899.0,12,6,2019,22,35,16,30
IndiGo,Delhi,Cochin,305,1.0,No info,10112.0,1,6,2019,4,35,23,30
Air India,Delhi,Cochin,1595,2.0,No info,9653.0,6,6,2019,19,15,16,40
Jet Airways,Kolkata,Banglore,740,1.0,In-flight meal not included,10844.0,9,6,2019,20,45,8,25
Jet Airways,Kolkata,Banglore,775,1.0,No info,13941.0,18,5,2019,10,5,21,10
Air Asia,Banglore,Delhi,170,0.0,No info,3383.0,6,5,2019,2,45,23,55
IndiGo,Banglore,Delhi,180,0.0,No info,3943.0,3,6,2019,0,15,21,15
Air India,Delhi,Cochin,765,1.0,No info,12677.0,6,3,2019,9,25,20,40
Vistara,Banglore,New Delhi,165,0.0,No info,8028.0,3,3,2019,12,35,9,50
IndiGo,Delhi,Cochin,185,0.0,No info,7673.0,3,3,2019,17,35,14,30
Air Asia,Delhi,Cochin,330,1.0,No info,8759.0,6,6,2019,13,25,7,55
Jet Airways,Kolkata,Banglore,800,1.0,No info,13044.0,12,6,2019,8,15,18,55
Air India,Kolkata,Banglore,150,0.0,No info,6245.0,9,6,2019,16,45,14,15
Air India,Kolkata,Banglore,1505,2.0,No info,12797.0,24,5,2019,10,30,9,25
Jet Airways,Delhi,Cochin,1100,1.0,In-flight meal not included,10577.0,9,6,2019,12,35,18,15
Multiple carriers,Delhi,Cochin,780,1.0,No info,7408.0,12,6,2019,21,0,8,0
IndiGo,Banglore,Delhi,165,0.0,No info,4591.0,21,4,2019,4,15,1,30
Jet Airways,Kolkata,Banglore,1150,1.0,In-flight meal not included,10844.0,12,5,2019,16,20,21,10
IndiGo,Delhi,Cochin,425,1.0,No info,9585.0,3,3,2019,12,0,4,55
Multiple carriers,Delhi,Cochin,705,1.0,No info,7354.0,12,6,2019,19,15,7,30
IndiGo,Delhi,Cochin,730,1.0,No info,6093.0,12,6,2019,21,0,8,50
Jet Airways,Mumbai,Hyderabad,90,0.0,No info,8040.0,3,6,2019,11,50,10,20
IndiGo,Delhi,Cochin,305,1.0,No info,5054.0,21,5,2019,1,30,20,25
Air India,Delhi,Cochin,1275,2.0,No info,10441.0,18,5,2019,19,15,22,0
Air India,Banglore,New Delhi,1265,1.0,No info,11707.0,12,3,2019,8,55,11,50
Jet Airways,Delhi,Cochin,505,2.0,In-flight meal not included,12410.0,12,6,2019,4,25,20,0
Jet Airways,Delhi,Cochin,1315,1.0,In-flight meal not included,7438.0,27,3,2019,19,45,21,50
Air India,Banglore,New Delhi,1625,2.0,No info,7642.0,21,3,2019,11,20,8,15
Multiple carriers,Delhi,Cochin,720,1.0,No info,6883.0,21,3,2019,21,0,9,0
Jet Airways,Delhi,Cochin,1595,1.0,In-flight meal not included,12898.0,21,5,2019,12,35,10,0
IndiGo,Delhi,Cochin,570,1.0,No info,6316.0,9,6,2019,1,30,16,0
Jet Airways,Delhi,Cochin,1010,1.0,In-flight meal not included,10262.0,15,6,2019,12,35,19,45
Air India,Delhi,Cochin,2280,3.0,No info,10493.0,24,6,2019,19,15,5,15
Jet Airways,Delhi,Cochin,455,1.0,In-flight meal not included,9212.0,21,3,2019,4,25,20,50
Jet Airways,Delhi,Cochin,805,1.0,In-flight meal not included,12373.0,18,5,2019,4,25,15,0
Air Asia,Banglore,Delhi,170,0.0,No info,6181.0,3,5,2019,7,45,4,55
Jet Airways,Kolkata,Banglore,475,1.0,In-flight meal not included,9899.0,12,6,2019,16,20,8,25
Jet Airways,Kolkata,Banglore,345,1.0,No info,13364.0,1,4,2019,19,50,14,5
Air India,Delhi,Cochin,705,1.0,No info,8991.0,12,6,2019,8,15,20,30
IndiGo,Delhi,Cochin,480,1.0,No info,14871.0,6,3,2019,15,30,7,30
IndiGo,Banglore,Delhi,170,0.0,No info,4823.0,24,6,2019,11,20,8,30
Air India,Kolkata,Banglore,1385,2.0,No info,13227.0,1,5,2019,8,55,9,50
IndiGo,Delhi,Cochin,895,1.0,No info,5883.0,12,6,2019,1,30,10,35
Jet Airways,Delhi,Cochin,1045,2.0,No info,15129.0,27,5,2019,12,35,19,10
IndiGo,Delhi,Cochin,985,1.0,No info,8765.0,21,3,2019,1,35,9,10
Jet Airways,Banglore,Delhi,165,0.0,In-flight meal not included,4544.0,21,4,2019,8,45,6,0
Vistara,Banglore,New Delhi,160,0.0,No info,8290.0,9,3,2019,22,20,19,40
Multiple carriers,Delhi,Cochin,565,3.0,No info,21829.0,3,3,2019,21,0,11,35
Air Asia,Kolkata,Banglore,150,0.0,No info,4384.0,18,3,2019,22,5,19,35
SpiceJet,Kolkata,Banglore,315,1.0,No info,4649.0,12,6,2019,20,20,15,5
Jet Airways,Delhi,Cochin,1015,1.0,In-flight meal not included,13843.0,6,3,2019,4,25,11,30
GoAir,Banglore,Delhi,165,0.0,No info,4239.0,3,5,2019,23,40,20,55
Air India,Mumbai,Hyderabad,1795,2.0,No info,14219.0,6,3,2019,11,55,6,0
Vistara,Mumbai,Hyderabad,745,1.0,No info,12395.0,6,3,2019,19,55,7,30
IndiGo,Delhi,Cochin,515,1.0,No info,6442.0,24,6,2019,16,10,7,35
IndiGo,Delhi,Cochin,415,1.0,No info,5883.0,24,6,2019,1,30,18,35
