iter	RMSE
0	4420.75518
1	4283.038819
2	4142.071144
3	4002.442474
4	3869.288081
5	3762.255053
6	3665.715183
7	3565.964835
8	3478.365102
9	3389.026925
10	3305.402554
11	3235.020564
12	3164.851853
13	3093.911604
14	3032.873601
15	2980.539866
16	2927.809705
17	2873.62947
18	2820.445926
19	2788.813532
20	2753.29174
21	2712.528417
22	2671.330262
23	2636.104316
24	2612.218759
25	2589.435504
26	2561.630531
27	2536.11631
28	2506.520571
29	2476.578682
30	2448.966231
31	2433.028029
32	2409.987388
33	2382.872865
34	2366.077714
35	2348.837818
36	2333.80415
37	2315.69921
38	2302.777583
39	2284.613941
40	2272.014606
41	2254.476137
42	2243.402403
43	2233.023829
44	2221.416233
45	2207.157398
46	2197.814091
47	2184.228212
48	2176.17749
49	2158.480386
50	2148.795373
51	2139.946834
52	2134.118048
53	2126.82278
54	2119.544147
55	2109.923528
56	2102.836073
57	2094.973986
58	2085.283111
59	2078.561089
60	2072.856156
61	2064.686556
62	2055.884582
63	2048.105685
64	2040.104419
65	2035.540704
66	2029.294948
67	2024.867335
68	2018.86911
69	2015.979922
70	2010.245462
71	2006.531482
72	2002.224658
73	1998.038154
74	1993.393204
75	1989.635167
76	1986.524841
77	1982.579778
78	1976.955754
79	1972.360733
80	1969.576356
81	1966.006749
82	1962.837898
83	1958.704913
84	1957.008082
85	1953.320619
86	1946.964587
87	1940.324669
88	1934.439965
89	1929.979352
90	1928.218912
91	1926.350293
92	1922.661576
93	1919.310875
94	1916.200908
95	1913.157244
96	1908.17009
97	1906.887079
98	1902.775893
99	1901.882849
100	1901.563585
101	1898.491665
102	1894.855819
103	1891.217958
104	1889.696745
105	1883.961965
106	1881.166878
107	1876.505783
108	1872.911926
109	1867.933345
110	1866.548389
111	1862.843457
112	1857.747317
113	1852.885891
114	1850.573249
115	1848.598366
116	1846.316909
117	1840.091995
118	1835.960962
119	1833.535608
120	1833.37517
121	1832.202428
122	1829.851595
123	1826.920106
124	1823.204767
125	1820.775293
126	1816.349455
127	1809.969603
128	1804.135533
129	1800.316307
130	1796.309815
131	1794.761518
132	1790.965324
133	1787.99097
134	1787.675842
135	1786.902405
136	1781.67527
137	1779.641507
138	1777.088057
139	1771.649962
140	1767.762623
141	1764.234131
142	1760.248675
143	1758.549127
144	1757.060575
145	1756.163398
146	1753.721771
147	1752.090847
148	1751.402984
149	1750.375865
150	1748.382773
151	1746.677968
152	1746.125994
153	1745.288992
154	1743.973564
155	1742.215269
156	1740.157906
157	1739.429299
158	1736.772365
159	1734.522263
160	1733.455953
161	1730.39043
162	1726.392064
163	1724.777361
164	1723.649834
165	1721.718041
166	1717.609201
167	1714.637592
168	1712.148135
169	1708.322084
170	1707.556439
171	1706.002308
172	1704.582146
173	1703.889404
174	1703.643314
175	1703.405673
176	1701.842038
177	1699.193684
178	1698.254364
179	1698.034603
180	1694.527122
181	1694.092515
182	1691.752688
183	1688.84566
184	1686.816367
185	1686.607029
186	1686.389011
187	1686.208031
188	1685.133361
189	1680.853807
190	1680.664403
191	1680.481531
192	1677.463469
193	1675.406172
194	1673.793686
195	1673.40791
196	1670.533174
197	1669.68385
198	1669.463906
199	1667.089025
200	1665.830046
201	1661.595086
202	1660.979265
203	1660.812154
204	1660.611444
205	1660.454731
206	1658.950838
207	1656.488315
208	1653.109729
209	1652.957815
210	1652.810816
211	1649.27084
212	1649.127942
213	1648.989629
214	1647.213382
215	1644.583915
216	1644.448694
217	1641.819221
218	1640.32463
219	1640.193476
220	1639.479723
221	1637.37299
222	1635.236856
223	1635.111304
224	1634.989698
225	1634.720813
226	1634.606309
227	1633.153664
228	1632.465412
229	1632.319024
230	1632.211542
231	1630.571828
232	1628.379187
233	1625.117908
234	1623.077539
235	1621.696566
236	1619.321579
237	1616.498498
238	1615.561971
239	1615.427728
240	1613.990369
241	1612.56704
242	1610.189291
243	1610.088829
244	1609.840366
245	1607.557788
246	1605.567369
247	1605.471481
248	1604.03597
249	1602.185405
250	1601.594773
251	1599.001261
252	1597.34689
253	1595.958691
254	1594.677283
255	1594.56091
256	1594.448711
257	1592.730858
258	1592.520718
259	1591.28367
260	1588.389512
261	1585.55677
262	1585.47259
263	1581.758935
264	1579.951209
265	1578.908821
266	1578.289408
267	1576.745408
268	1575.02581
269	1573.286514
270	1573.083136
271	1572.980344
272	1571.11925
273	1569.345638
274	1567.603058
275	1566.837391
276	1566.657852
277	1564.950498
278	1563.758261
279	1563.685367
280	1561.486526
281	1560.310244
282	1559.259033
283	1558.009488
284	1556.313569
285	1554.262087
286	1553.503546
287	1553.17912
288	1551.844007
289	1551.77436
290	1551.599118
291	1549.637817
292	1548.239945
293	1545.507528
294	1544.496412
295	1542.295181
296	1542.065308
297	1540.130029
298	1538.931329
299	1537.921193
300	1536.411915
301	1535.582959
302	1534.552354
303	1534.084235
304	1533.918283
305	1532.333049
306	1531.984602
307	1531.344071
308	1528.995297
309	1527.79369
310	1526.758242
311	1526.609597
312	1523.913767
313	1523.854274
314	1522.458726
315	1520.922385
316	1519.031049
317	1518.972479
318	1517.994827
319	1516.027776
320	1515.295839
321	1513.080513
322	1511.621724
323	1511.257114
324	1508.657236
325	1508.600498
326	1508.545585
327	1506.435035
328	1504.71469
329	1503.366625
330	1502.495118
331	1500.157264
332	1498.788587
333	1497.726779
334	1497.579713
335	1496.084604
336	1495.040512
337	1494.148044
338	1492.042407
339	1490.789606
340	1489.76432
341	1487.867144
342	1486.224379
343	1486.104151
344	1485.048055
345	1483.260073
346	1481.137394
347	1479.714003
348	1478.345959
349	1477.259115
350	1476.090124
351	1474.500411
352	1472.667441
353	1472.337269
354	1472.036366
355	1471.863613
356	1468.338453
357	1468.208986
358	1467.930883
359	1466.342057
360	1465.260269
361	1463.339797
362	1461.143968
363	1460.547319
364	1459.392588
365	1459.348298
366	1458.035382
367	1456.734048
368	1455.539142
369	1454.248848
370	1453.474427
371	1451.612771
372	1451.340316
373	1450.314629
374	1449.467816
375	1449.051012
376	1448.17167
377	1447.53077
378	1446.586323
379	1445.062218
380	1443.645529
381	1443.315007
382	1441.945344
383	1441.820814
384	1440.171419
385	1439.398389
386	1438.413784
387	1437.374394
388	1435.385136
389	1434.229333
390	1433.005594
391	1431.351195
392	1430.061824
393	1428.949931
394	1427.986688
395	1427.397499
396	1425.486072
397	1423.589853
398	1422.919223
399	1422.728233
400	1421.155948
401	1420.668872
402	1419.894066
403	1419.071862
404	1417.773909
405	1415.611323
406	1415.430377
407	1414.542993
408	1413.881999
409	1412.617674
410	1411.956321
411	1411.414315
412	1410.181968
413	1409.229339
414	1408.107052
415	1407.066575
416	1406.623979
417	1406.049367
418	1405.608616
419	1403.405133
420	1402.052827
421	1401.231708
422	1399.714915
423	1398.378275
424	1397.507438
425	1397.460935
426	1396.646505
427	1396.602028
428	1395.947825
429	1395.43051
430	1395.40296
431	1393.975099
432	1393.023685
433	1392.555805
434	1390.962747
435	1390.570202
436	1390.54377
437	1389.946653
438	1388.604565
439	1387.398651
440	1386.161709
441	1384.755826
442	1383.810633
443	1382.533671
444	1381.635172
445	1380.318806
446	1379.344398
447	1378.763609
448	1378.743604
449	1377.274769
450	1375.986567
451	1374.867965
452	1373.412092
453	1372.00771
454	1370.684794
455	1370.41881
456	1369.749376
457	1369.105455
458	1367.88881
459	1367.192224
460	1365.800971
461	1365.109656
462	1363.962024
463	1363.768475
464	1362.686388
465	1362.417746
466	1361.413432
467	1361.391487
468	1360.850596
469	1359.846551
470	1358.984006
471	1357.831681
472	1357.110487
473	1355.848937
474	1355.041921
475	1353.219274
476	1352.199038
477	1352.080401
478	1350.936056
479	1350.320593
480	1349.32081
481	1348.334643
482	1347.370459
483	1347.350109
484	1346.233839
485	1345.895669
486	1344.92265
487	1344.560181
488	1343.975059
489	1343.184507
490	1342.46244
491	1342.443756
492	1339.835111
493	1338.902023
494	1337.806511
495	1337.365628
496	1337.344549
497	1337.012187
498	1336.623334
499	1335.957665
500	1334.348684
501	1333.119977
502	1331.659778
503	1331.642347
