,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute
0,IndiGo,Banglore,New Delhi,170,0.0,No info,3897.0,24,3,2019,1,10,22,20
1,Air India,Kolkata,Banglore,445,2.0,No info,7662.0,1,5,2019,13,15,5,50
2,Jet Airways,Delhi,Cochin,1140,2.0,No info,13882.0,9,6,2019,4,25,9,25
3,IndiGo,Kolkata,Banglore,325,1.0,No info,6218.0,12,5,2019,23,30,18,5
4,IndiGo,Banglore,New Delhi,285,1.0,No info,13302.0,1,3,2019,21,35,16,50
5,SpiceJet,Kolkata,Banglore,145,0.0,No info,3873.0,24,6,2019,11,25,9,0
6,Jet Airways,Banglore,New Delhi,930,1.0,In-flight meal not included,11087.0,12,3,2019,10,25,18,55
7,Jet Airways,Banglore,New Delhi,1265,1.0,No info,22270.0,1,3,2019,5,5,8,0
8,Jet Airways,Banglore,New Delhi,1530,1.0,In-flight meal not included,11087.0,12,3,2019,10,25,8,55
9,Multiple carriers,Delhi,Cochin,470,1.0,No info,8625.0,27,5,2019,19,15,11,25
10,Air India,Delhi,Cochin,795,1.0,No info,8907.0,1,6,2019,23,0,9,45
11,IndiGo,Kolkata,Banglore,155,0.0,No info,4174.0,18,4,2019,22,55,20,20
12,Air India,Chennai,Kolkata,135,0.0,No info,4667.0,24,6,2019,13,55,11,40
13,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,9663.0,9,5,2019,9,20,21,10
14,IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,24,4,2019,19,50,17,15
15,Air India,Delhi,Cochin,1595,2.0,No info,14011.0,3,3,2019,19,15,16,40
16,SpiceJet,Delhi,Cochin,270,1.0,No info,5830.0,15,4,2019,13,15,8,45
17,Jet Airways,Delhi,Cochin,1355,1.0,In-flight meal not included,10262.0,12,6,2019,12,35,14,0
18,Air India,Delhi,Cochin,1380,2.0,No info,13381.0,12,6,2019,19,15,20,15
19,Jet Airways,Delhi,Cochin,1235,1.0,In-flight meal not included,12898.0,27,5,2019,12,35,16,0
20,GoAir,Delhi,Cochin,310,1.0,No info,19495.0,6,3,2019,19,20,14,10
21,Air India,Banglore,New Delhi,920,1.0,No info,6955.0,21,3,2019,13,20,22,0
22,IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,3,4,2019,6,50,4,0
23,IndiGo,Banglore,Delhi,175,0.0,No info,4823.0,1,5,2019,21,50,18,55
24,Jet Airways,Kolkata,Banglore,800,1.0,In-flight meal not included,7757.0,6,5,2019,8,15,18,55
25,Jet Airways,Delhi,Cochin,910,2.0,No info,13292.0,9,6,2019,12,35,21,25
26,IndiGo,Delhi,Cochin,345,1.0,No info,8238.0,1,6,2019,3,35,21,50
27,GoAir,Delhi,Cochin,355,1.0,No info,7682.0,15,5,2019,12,55,7,0
28,Vistara,Banglore,Delhi,170,0.0,No info,4668.0,18,6,2019,12,35,9,45
29,Vistara,Chennai,Kolkata,135,0.0,No info,3687.0,15,6,2019,9,20,7,5
30,Vistara,Chennai,Kolkata,135,0.0,No info,3687.0,18,6,2019,9,20,7,5
31,Air India,Kolkata,Banglore,805,2.0,No info,13227.0,1,5,2019,23,15,9,50
32,IndiGo,Banglore,Delhi,170,0.0,No info,4423.0,6,4,2019,6,50,4,0
33,Jet Airways,Delhi,Cochin,1320,2.0,In-flight meal not included,10919.0,15,6,2019,12,35,14,35
34,Jet Airways,Delhi,Cochin,330,1.0,In-flight meal not included,12373.0,18,5,2019,12,35,7,5
35,IndiGo,Delhi,Cochin,625,1.0,No info,5894.0,27,6,2019,21,0,10,35
36,SpiceJet,Kolkata,Banglore,315,1.0,No info,4649.0,21,5,2019,20,20,15,5
37,Air India,Kolkata,Banglore,150,0.0,No info,6245.0,18,5,2019,16,45,14,15
38,Jet Airways,Banglore,New Delhi,375,1.0,No info,19225.0,6,3,2019,13,15,7,0
39,Jet Airways,Delhi,Cochin,715,1.0,No info,14924.0,3,6,2019,19,0,7,5
40,Multiple carriers,Delhi,Cochin,665,1.0,No info,9646.0,21,5,2019,18,10,7,5
41,Air India,Banglore,New Delhi,510,1.0,No info,8714.0,15,3,2019,15,15,6,45
42,Jet Airways,Delhi,Cochin,1325,1.0,In-flight meal not included,12373.0,18,5,2019,19,0,20,55
43,Air Asia,Banglore,Delhi,165,0.0,No info,3383.0,6,5,2019,13,55,11,10
44,Multiple carriers,Delhi,Cochin,720,1.0,No info,13062.0,21,3,2019,21,0,9,0
45,SpiceJet,Banglore,New Delhi,170,0.0,No check-in baggage included,3527.0,24,3,2019,8,35,5,45
46,IndiGo,Banglore,Delhi,170,0.0,No info,3943.0,27,5,2019,6,50,4,0
47,Air India,Chennai,Kolkata,135,0.0,No info,4667.0,3,5,2019,13,55,11,40
48,Air India,Kolkata,Banglore,965,1.0,No info,6117.0,15,5,2019,11,5,19,0
49,Jet Airways,Delhi,Cochin,1195,2.0,In-flight meal not included,11150.0,27,6,2019,19,0,23,5
50,Jet Airways,Delhi,Cochin,195,0.0,In-flight meal not included,7202.0,9,3,2019,14,15,11,0
51,Jet Airways,Kolkata,Banglore,1520,1.0,No info,12121.0,1,5,2019,10,55,9,35
52,IndiGo,Banglore,New Delhi,170,0.0,No info,4377.0,24,3,2019,1,10,22,20
53,IndiGo,Banglore,Delhi,180,0.0,No info,3943.0,18,6,2019,0,15,21,15
54,Air Asia,Banglore,Delhi,170,0.0,No info,4483.0,3,4,2019,2,45,23,55
55,Jet Airways,Kolkata,Banglore,975,1.0,No info,14231.0,24,3,2019,12,0,19,45
56,Air India,Banglore,New Delhi,905,2.0,No info,17345.0,1,3,2019,23,55,8,50
57,Vistara,Chennai,Kolkata,135,0.0,No info,7414.0,6,3,2019,9,20,7,5
58,Multiple carriers,Delhi,Cochin,390,1.0,No info,8073.0,6,5,2019,1,30,19,0
59,Vistara,Mumbai,Hyderabad,1505,1.0,No info,12395.0,6,3,2019,16,45,15,40
60,Air India,Kolkata,Banglore,745,1.0,No info,8366.0,6,6,2019,21,50,9,25
61,Air India,Delhi,Cochin,1640,1.0,No info,5117.0,3,4,2019,9,25,6,5
62,Multiple carriers,Delhi,Cochin,615,1.0,No info,12524.0,3,6,2019,19,0,8,45
63,IndiGo,Delhi,Cochin,630,1.0,No info,7191.0,15,5,2019,1,30,15,0
64,Vistara,Chennai,Kolkata,135,0.0,No info,3687.0,24,5,2019,9,20,7,5
65,IndiGo,Delhi,Cochin,625,1.0,No info,5894.0,24,6,2019,21,0,10,35
66,Vistara,Banglore,Delhi,170,0.0,No info,5403.0,24,4,2019,12,35,9,45
67,Air India,Mumbai,Hyderabad,90,0.0,No info,3625.0,6,5,2019,15,25,13,55
68,Air India,Delhi,Cochin,800,2.0,No info,10861.0,21,5,2019,19,15,5,55
69,IndiGo,Chennai,Kolkata,135,0.0,No info,6297.0,12,3,2019,15,35,13,20
70,Jet Airways,Mumbai,Hyderabad,85,0.0,No info,5678.0,1,6,2019,8,30,7,5
71,Jet Airways,Banglore,New Delhi,1590,1.0,In-flight meal not included,9134.0,9,3,2019,8,15,5,45
72,Multiple carriers,Delhi,Cochin,440,1.0,In-flight meal not included,10791.0,24,6,2019,19,0,11,40
73,Jet Airways,Delhi,Cochin,810,2.0,No info,12819.0,24,6,2019,12,35,23,5
74,IndiGo,Delhi,Cochin,300,1.0,No info,6893.0,21,3,2019,10,5,5,5
75,Vistara,Banglore,New Delhi,165,0.0,No info,7240.0,9,3,2019,12,35,9,50
76,GoAir,Banglore,Delhi,170,0.0,No info,3898.0,3,4,2019,14,30,11,40
77,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4049.0,3,4,2019,7,55,6,25
78,Jet Airways,Delhi,Cochin,1145,1.0,In-flight meal not included,10262.0,15,6,2019,12,35,17,30
79,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3332.0,21,3,2019,10,35,8,20
80,Jet Airways,Kolkata,Banglore,890,1.0,In-flight meal not included,10844.0,9,6,2019,12,0,21,10
81,Jet Airways,Banglore,New Delhi,160,0.0,No info,7229.0,24,3,2019,22,35,19,55
82,Jet Airways,Kolkata,Banglore,1330,1.0,No info,13941.0,6,5,2019,4,40,6,30
83,IndiGo,Delhi,Cochin,575,1.0,No info,5894.0,27,6,2019,21,0,11,25
84,Multiple carriers,Delhi,Cochin,600,1.0,No info,10197.0,18,5,2019,19,0,9,0
85,Jet Airways,Banglore,New Delhi,1280,1.0,In-flight meal not included,13712.0,6,3,2019,11,25,14,5
86,IndiGo,Delhi,Cochin,325,1.0,No info,5636.0,24,6,2019,7,25,2,0
87,Jet Airways,Delhi,Cochin,1125,2.0,No info,13014.0,6,6,2019,4,25,9,40
88,Jet Airways,Kolkata,Banglore,740,1.0,In-flight meal not included,7064.0,1,4,2019,20,45,8,25
89,Jet Airways,Kolkata,Banglore,1080,1.0,In-flight meal not included,10703.0,24,5,2019,14,25,20,25
90,Multiple carriers,Delhi,Cochin,555,1.0,No info,9646.0,27,5,2019,22,30,13,15
91,Multiple carriers,Delhi,Cochin,665,1.0,No info,17057.0,6,3,2019,13,20,2,15
92,Jet Airways,Banglore,New Delhi,1050,1.0,No info,13817.0,12,3,2019,10,25,16,55
93,Air India,Delhi,Cochin,800,2.0,No info,13748.0,6,3,2019,19,15,5,55
94,Air India,Kolkata,Banglore,155,0.0,No info,4880.0,21,4,2019,23,20,20,45
95,IndiGo,Chennai,Kolkata,145,0.0,No info,3540.0,21,6,2019,7,40,5,15
96,SpiceJet,Banglore,Delhi,160,0.0,No check-in baggage included,3257.0,15,5,2019,8,35,5,55
97,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,6478.0,3,6,2019,22,50,19,50
98,Jet Airways,Mumbai,Hyderabad,85,0.0,No info,8040.0,18,6,2019,8,30,7,5
99,Jet Airways,Delhi,Cochin,995,2.0,No info,14300.0,12,6,2019,12,35,20,0
100,Jet Airways,Kolkata,Banglore,740,1.0,No info,14781.0,15,5,2019,20,45,8,25
